Comunidad Autonoma;Tasa Paro;Sexo;Periodo;Edad
Total Nacional;13.92;Ambos sexos;2019T3;Total
Total Nacional;14.02;Ambos sexos;2019T2;Total
Total Nacional;14.7;Ambos sexos;2019T1;Total
Total Nacional;14.45;Ambos sexos;2018T4;Total
Total Nacional;14.55;Ambos sexos;2018T3;Total
Total Nacional;15.28;Ambos sexos;2018T2;Total
Total Nacional;16.74;Ambos sexos;2018T1;Total
Total Nacional;16.55;Ambos sexos;2017T4;Total
Total Nacional;16.38;Ambos sexos;2017T3;Total
Total Nacional;17.22;Ambos sexos;2017T2;Total
Total Nacional;18.75;Ambos sexos;2017T1;Total
Total Nacional;18.63;Ambos sexos;2016T4;Total
Total Nacional;18.91;Ambos sexos;2016T3;Total
Total Nacional;20.0;Ambos sexos;2016T2;Total
Total Nacional;21.0;Ambos sexos;2016T1;Total
Total Nacional;20.9;Ambos sexos;2015T4;Total
Total Nacional;21.18;Ambos sexos;2015T3;Total
Total Nacional;22.37;Ambos sexos;2015T2;Total
Total Nacional;23.78;Ambos sexos;2015T1;Total
Total Nacional;23.7;Ambos sexos;2014T4;Total
Total Nacional;23.67;Ambos sexos;2014T3;Total
Total Nacional;24.47;Ambos sexos;2014T2;Total
Total Nacional;25.93;Ambos sexos;2014T1;Total
Total Nacional;25.73;Ambos sexos;2013T4;Total
Total Nacional;25.65;Ambos sexos;2013T3;Total
Total Nacional;26.06;Ambos sexos;2013T2;Total
Total Nacional;26.94;Ambos sexos;2013T1;Total
Total Nacional;25.77;Ambos sexos;2012T4;Total
Total Nacional;24.79;Ambos sexos;2012T3;Total
Total Nacional;24.4;Ambos sexos;2012T2;Total
Total Nacional;24.19;Ambos sexos;2012T1;Total
Total Nacional;22.56;Ambos sexos;2011T4;Total
Total Nacional;21.28;Ambos sexos;2011T3;Total
Total Nacional;20.64;Ambos sexos;2011T2;Total
Total Nacional;21.08;Ambos sexos;2011T1;Total
Total Nacional;20.11;Ambos sexos;2010T4;Total
Total Nacional;19.59;Ambos sexos;2010T3;Total
Total Nacional;19.89;Ambos sexos;2010T2;Total
Total Nacional;19.84;Ambos sexos;2010T1;Total
Total Nacional;18.66;Ambos sexos;2009T4;Total
Total Nacional;17.75;Ambos sexos;2009T3;Total
Total Nacional;17.77;Ambos sexos;2009T2;Total
Total Nacional;17.24;Ambos sexos;2009T1;Total
Total Nacional;13.79;Ambos sexos;2008T4;Total
Total Nacional;11.23;Ambos sexos;2008T3;Total
Total Nacional;10.36;Ambos sexos;2008T2;Total
Total Nacional;9.6;Ambos sexos;2008T1;Total
Total Nacional;8.57;Ambos sexos;2007T4;Total
Total Nacional;8.01;Ambos sexos;2007T3;Total
Total Nacional;7.93;Ambos sexos;2007T2;Total
