Comunidad Autonoma;Tasa Paro;Sexo;Periodo;Edad
0;13.92;0;2019T3;0
0;14.02;0;2019T2;0
0;14.7;0;2019T1;0
0;14.45;0;2018T4;0
0;14.55;0;2018T3;0
0;15.28;0;2018T2;0
0;16.74;0;2018T1;0
0;16.55;0;2017T4;0
0;16.38;0;2017T3;0
0;17.22;0;2017T2;0
0;18.75;0;2017T1;0
0;18.63;0;2016T4;0
0;18.91;0;2016T3;0
0;20.0;0;2016T2;0
0;21.0;0;2016T1;0
0;20.9;0;2015T4;0
0;21.18;0;2015T3;0
0;22.37;0;2015T2;0
0;23.78;0;2015T1;0
0;23.7;0;2014T4;0
0;23.67;0;2014T3;0
0;24.47;0;2014T2;0
0;25.93;0;2014T1;0
0;25.73;0;2013T4;0
0;25.65;0;2013T3;0
0;26.06;0;2013T2;0
0;26.94;0;2013T1;0
0;25.77;0;2012T4;0
0;24.79;0;2012T3;0
0;24.4;0;2012T2;0
0;24.19;0;2012T1;0
0;22.56;0;2011T4;0
0;21.28;0;2011T3;0
0;20.64;0;2011T2;0
0;21.08;0;2011T1;0
0;20.11;0;2010T4;0
0;19.59;0;2010T3;0
0;19.89;0;2010T2;0
0;19.84;0;2010T1;0
0;18.66;0;2009T4;0
0;17.75;0;2009T3;0
0;17.77;0;2009T2;0
0;17.24;0;2009T1;0
0;13.79;0;2008T4;0
0;11.23;0;2008T3;0
0;10.36;0;2008T2;0
0;9.6;0;2008T1;0
0;8.57;0;2007T4;0
0;8.01;0;2007T3;0
0;7.93;0;2007T2;0
0;8.42;0;2007T1;0
0;8.26;0;2006T4;0
0;8.08;0;2006T3;0
0;8.44;0;2006T2;0
0;9.03;0;2006T1;0
0;8.71;0;2005T4;0
0;8.41;0;2005T3;0
0;9.32;0;2005T2;0
0;10.17;0;2005T1;0
0;10.53;0;2004T4;0
0;10.74;0;2004T3;0
0;11.09;0;2004T2;0
0;11.5;0;2004T1;0
0;11.37;0;2003T4;0
0;11.3;0;2003T3;0
0;11.28;0;2003T2;0
0;11.99;0;2003T1;0
0;11.61;0;2002T4;0
0;11.49;0;2002T3;0
0;11.15;0;2002T2;0
0;11.55;0;2002T1;0
0;31.68;0;2019T3;1
0;33.14;0;2019T2;1
0;34.97;0;2019T1;1
0;33.54;0;2018T4;1
0;33.0;0;2018T3;1
0;34.68;0;2018T2;1
0;36.34;0;2018T1;1
0;37.46;0;2017T4;1
0;35.97;0;2017T3;1
0;39.53;0;2017T2;1
0;41.66;0;2017T1;1
0;42.92;0;2016T4;1
0;41.94;0;2016T3;1
0;46.48;0;2016T2;1
0;46.5;0;2016T1;1
0;46.24;0;2015T4;1
0;46.58;0;2015T3;1
0;49.22;0;2015T2;1
0;51.36;0;2015T1;1
0;51.8;0;2014T4;1
0;52.39;0;2014T3;1
0;53.12;0;2014T2;1
0;55.49;0;2014T1;1
0;54.89;0;2013T4;1
0;54.14;0;2013T3;1
0;55.98;0;2013T2;1
0;56.92;0;2013T1;1
0;54.83;0;2012T4;1
0;52.01;0;2012T3;1
0;53.04;0;2012T2;1
0;51.67;0;2012T1;1
0;48.14;0;2011T4;1
0;45.58;0;2011T3;1
0;45.87;0;2011T2;1
0;45.3;0;2011T1;1
0;42.73;0;2010T4;1
0;40.56;0;2010T3;1
0;41.97;0;2010T2;1
0;40.73;0;2010T1;1
0;38.81;0;2009T4;1
0;38.57;0;2009T3;1
0;38.06;0;2009T2;1
0;35.54;0;2009T1;1
0;28.97;0;2008T4;1
0;24.18;0;2008T3;1
0;23.62;0;2008T2;1
0;21.08;0;2008T1;1
0;18.66;0;2007T4;1
0;17.87;0;2007T3;1
0;18.12;0;2007T2;1
0;17.72;0;2007T1;1
0;17.81;0;2006T4;1
0;16.9;0;2006T3;1
0;18.2;0;2006T2;1
0;18.71;0;2006T1;1
0;18.62;0;2005T4;1
0;18.01;0;2005T3;1
0;20.29;0;2005T2;1
0;21.69;0;2005T1;1
0;21.27;0;2004T4;1
0;21.63;0;2004T3;1
0;22.46;0;2004T2;1
0;22.65;0;2004T1;1
0;22.94;0;2003T4;1
0;22.19;0;2003T3;1
0;22.28;0;2003T2;1
0;23.39;0;2003T1;1
0;23.16;0;2002T4;1
0;22.05;0;2002T3;1
0;21.5;0;2002T2;1
0;22.08;0;2002T1;1
0;12.55;0;2019T3;2
0;12.67;0;2019T2;2
0;13.31;0;2019T1;2
0;13.11;0;2018T4;2
0;13.16;0;2018T3;2
0;13.91;0;2018T2;2
0;15.44;0;2018T1;2
0;15.08;0;2017T4;2
0;14.89;0;2017T3;2
0;15.67;0;2017T2;2
0;17.22;0;2017T1;2
0;17.0;0;2016T4;2
0;17.24;0;2016T3;2
0;18.15;0;2016T2;2
0;19.28;0;2016T1;2
0;19.13;0;2015T4;2
0;19.22;0;2015T3;2
0;20.42;0;2015T2;2
0;21.81;0;2015T1;2
0;21.64;0;2014T4;2
0;21.43;0;2014T3;2
0;22.35;0;2014T2;2
0;23.72;0;2014T1;2
0;23.48;0;2013T4;2
0;23.28;0;2013T3;2
0;23.68;0;2013T2;2
0;24.54;0;2013T1;2
0;23.46;0;2012T4;2
0;22.42;0;2012T3;2
0;21.99;0;2012T2;2
0;21.9;0;2012T1;2
0;20.37;0;2011T4;2
0;18.99;0;2011T3;2
0;18.36;0;2011T2;2
0;18.9;0;2011T1;2
0;18.02;0;2010T4;2
0;17.49;0;2010T3;2
0;17.72;0;2010T2;2
0;17.81;0;2010T1;2
0;16.65;0;2009T4;2
0;15.45;0;2009T3;2
0;15.59;0;2009T2;2
0;15.25;0;2009T1;2
0;12.06;0;2008T4;2
0;9.63;0;2008T3;2
0;8.8;0;2008T2;2
0;8.27;0;2008T1;2
0;7.37;0;2007T4;2
0;6.73;0;2007T3;2
0;6.68;0;2007T2;2
0;7.29;0;2007T1;2
0;7.07;0;2006T4;2
0;6.91;0;2006T3;2
0;7.18;0;2006T2;2
0;7.79;0;2006T1;2
0;7.41;0;2005T4;2
0;7.06;0;2005T3;2
0;7.83;0;2005T2;2
0;8.62;0;2005T1;2
0;9.13;0;2004T4;2
0;9.22;0;2004T3;2
0;9.56;0;2004T2;2
0;10.0;0;2004T1;2
0;9.78;0;2003T4;2
0;9.71;0;2003T3;2
0;9.72;0;2003T2;2
0;10.37;0;2003T1;2
0;9.92;0;2002T4;2
0;9.87;0;2002T3;2
0;9.6;0;2002T2;2
0;9.96;0;2002T1;2
0;42.15;0;2019T3;3
0;46.26;0;2019T2;3
0;49.26;0;2019T1;3
0;46.89;0;2018T4;3
0;45.43;0;2018T3;3
0;51.64;0;2018T2;3
0;56.15;0;2018T1;3
0;54.2;0;2017T4;3
0;50.41;0;2017T3;3
0;55.98;0;2017T2;3
0;58.74;0;2017T1;3
0;58.67;0;2016T4;3
0;54.69;0;2016T3;3
0;63.52;0;2016T2;3
0;64.12;0;2016T1;3
0;66.09;0;2015T4;3
0;63.73;0;2015T3;3
0;69.36;0;2015T2;3
0;70.45;0;2015T1;3
0;67.28;0;2014T4;3
0;66.71;0;2014T3;3
0;70.39;0;2014T2;3
0;70.16;0;2014T1;3
0;75.53;0;2013T4;3
0;72.15;0;2013T3;3
0;73.0;0;2013T2;3
0;75.63;0;2013T1;3
0;73.88;0;2012T4;3
0;71.89;0;2012T3;3
0;73.19;0;2012T2;3
0;71.44;0;2012T1;3
0;69.15;0;2011T4;3
0;60.38;0;2011T3;3
0;62.53;0;2011T2;3
0;65.3;0;2011T1;3
0;63.67;0;2010T4;3
0;59.99;0;2010T3;3
0;62.15;0;2010T2;3
0;59.54;0;2010T1;3
0;57.47;0;2009T4;3
0;53.52;0;2009T3;3
0;56.18;0;2009T2;3
0;54.25;0;2009T1;3
0;45.83;0;2008T4;3
0;38.34;0;2008T3;3
0;40.96;0;2008T2;3
0;32.82;0;2008T1;3
0;31.08;0;2007T4;3
0;27.21;0;2007T3;3
0;29.19;0;2007T2;3
0;27.59;0;2007T1;3
0;31.23;0;2006T4;3
0;24.87;0;2006T3;3
0;31.22;0;2006T2;3
0;29.68;0;2006T1;3
0;27.83;0;2005T4;3
0;26.88;0;2005T3;3
0;31.07;0;2005T2;3
0;31.21;0;2005T1;3
0;29.04;0;2004T4;3
0;29.28;0;2004T3;3
0;32.16;0;2004T2;3
0;32.45;0;2004T1;3
0;32.07;0;2003T4;3
0;31.49;0;2003T3;3
0;34.13;0;2003T2;3
0;33.85;0;2003T1;3
0;31.55;0;2002T4;3
0;30.06;0;2002T3;3
0;29.48;0;2002T2;3
0;28.42;0;2002T1;3
0;29.28;0;2019T3;4
0;30.22;0;2019T2;4
0;32.0;0;2019T1;4
0;30.78;0;2018T4;4
0;30.1;0;2018T3;4
0;30.97;0;2018T2;4
0;32.37;0;2018T1;4
0;33.95;0;2017T4;4
0;32.69;0;2017T3;4
0;36.15;0;2017T2;4
0;38.37;0;2017T1;4
0;39.83;0;2016T4;4
0;39.27;0;2016T3;4
0;43.33;0;2016T2;4
0;43.26;0;2016T1;4
0;42.52;0;2015T4;4
0;42.89;0;2015T3;4
0;45.26;0;2015T2;4
0;47.74;0;2015T1;4
0;48.88;0;2014T4;4
0;49.54;0;2014T3;4
0;49.99;0;2014T2;4
0;52.86;0;2014T1;4
0;50.93;0;2013T4;4
0;50.14;0;2013T3;4
0;52.62;0;2013T2;4
0;53.39;0;2013T1;4
0;51.41;0;2012T4;4
0;47.68;0;2012T3;4
0;48.7;0;2012T2;4
0;47.71;0;2012T1;4
0;44.05;0;2011T4;4
0;42.0;0;2011T3;4
0;42.17;0;2011T2;4
0;41.14;0;2011T1;4
0;38.33;0;2010T4;4
0;35.95;0;2010T3;4
0;36.96;0;2010T2;4
0;36.31;0;2010T1;4
0;34.67;0;2009T4;4
0;34.54;0;2009T3;4
0;33.26;0;2009T2;4
0;30.63;0;2009T1;4
0;24.5;0;2008T4;4
0;19.8;0;2008T3;4
0;18.56;0;2008T2;4
0;17.75;0;2008T1;4
0;15.18;0;2007T4;4
0;14.91;0;2007T3;4
0;14.78;0;2007T2;4
0;15.02;0;2007T1;4
0;14.11;0;2006T4;4
0;14.46;0;2006T3;4
0;14.54;0;2006T2;4
0;15.85;0;2006T1;4
0;16.17;0;2005T4;4
0;15.4;0;2005T3;4
0;17.27;0;2005T2;4
0;19.23;0;2005T1;4
0;19.31;0;2004T4;4
0;19.57;0;2004T3;4
0;20.11;0;2004T2;4
0;20.3;0;2004T1;4
0;20.66;0;2003T4;4
0;19.76;0;2003T3;4
0;19.26;0;2003T2;4
0;20.85;0;2003T1;4
0;21.03;0;2002T4;4
0;19.89;0;2002T3;4
0;19.49;0;2002T2;4
0;20.42;0;2002T1;4
0;12.72;0;2019T3;5
0;12.76;0;2019T2;5
0;13.48;0;2019T1;5
0;13.18;0;2018T4;5
0;13.39;0;2018T3;5
0;14.01;0;2018T2;5
0;15.58;0;2018T1;5
0;15.23;0;2017T4;5
0;15.02;0;2017T3;5
0;15.84;0;2017T2;5
0;17.56;0;2017T1;5
0;17.19;0;2016T4;5
0;17.5;0;2016T3;5
0;18.48;0;2016T2;5
0;19.67;0;2016T1;5
0;19.42;0;2015T4;5
0;19.48;0;2015T3;5
0;20.88;0;2015T2;5
0;22.42;0;2015T1;5
0;22.1;0;2014T4;5
0;21.89;0;2014T3;5
0;22.82;0;2014T2;5
0;24.39;0;2014T1;5
0;24.15;0;2013T4;5
0;23.98;0;2013T3;5
0;24.41;0;2013T2;5
0;25.3;0;2013T1;5
0;24.31;0;2012T4;5
0;23.25;0;2012T3;5
0;22.78;0;2012T2;5
0;22.71;0;2012T1;5
0;21.1;0;2011T4;5
0;19.7;0;2011T3;5
0;19.08;0;2011T2;5
0;19.65;0;2011T1;5
0;18.62;0;2010T4;5
0;18.06;0;2010T3;5
0;18.33;0;2010T2;5
0;18.48;0;2010T1;5
0;17.25;0;2009T4;5
0;16.0;0;2009T3;5
0;16.16;0;2009T2;5
0;15.94;0;2009T1;5
0;12.58;0;2008T4;5
0;10.02;0;2008T3;5
0;9.12;0;2008T2;5
0;8.53;0;2008T1;5
0;7.59;0;2007T4;5
0;6.9;0;2007T3;5
0;6.83;0;2007T2;5
0;7.48;0;2007T1;5
0;7.3;0;2006T4;5
0;7.12;0;2006T3;5
0;7.43;0;2006T2;5
0;8.05;0;2006T1;5
0;7.65;0;2005T4;5
0;7.3;0;2005T3;5
0;7.99;0;2005T2;5
0;8.89;0;2005T1;5
0;9.44;0;2004T4;5
0;9.52;0;2004T3;5
0;9.88;0;2004T2;5
0;10.42;0;2004T1;5
0;10.19;0;2003T4;5
0;10.02;0;2003T3;5
0;10.13;0;2003T2;5
0;10.83;0;2003T1;5
0;10.3;0;2002T4;5
0;10.22;0;2002T3;5
0;9.97;0;2002T2;5
0;10.34;0;2002T1;5
0;11.79;0;2019T3;6
0;12.27;0;2019T2;6
0;12.57;0;2019T1;6
0;12.77;0;2018T4;6
0;12.13;0;2018T3;6
0;13.48;0;2018T2;6
0;14.78;0;2018T1;6
0;14.37;0;2017T4;6
0;14.27;0;2017T3;6
0;14.85;0;2017T2;6
0;15.56;0;2017T1;6
0;16.06;0;2016T4;6
0;15.98;0;2016T3;6
0;16.46;0;2016T2;6
0;17.26;0;2016T1;6
0;17.64;0;2015T4;6
0;17.78;0;2015T3;6
0;17.89;0;2015T2;6
0;18.41;0;2015T1;6
0;19.07;0;2014T4;6
0;18.83;0;2014T3;6
0;19.6;0;2014T2;6
0;19.76;0;2014T1;6
0;19.42;0;2013T4;6
0;19.05;0;2013T3;6
0;19.19;0;2013T2;6
0;19.78;0;2013T1;6
0;18.09;0;2012T4;6
0;17.22;0;2012T3;6
0;17.01;0;2012T2;6
0;16.67;0;2012T1;6
0;15.65;0;2011T4;6
0;14.36;0;2011T3;6
0;13.63;0;2011T2;6
0;13.88;0;2011T1;6
0;13.95;0;2010T4;6
0;13.6;0;2010T3;6
0;13.48;0;2010T2;6
0;13.13;0;2010T1;6
0;12.44;0;2009T4;6
0;11.59;0;2009T3;6
0;11.66;0;2009T2;6
0;10.43;0;2009T1;6
0;8.43;0;2008T4;6
0;6.84;0;2008T3;6
0;6.52;0;2008T2;6
0;6.41;0;2008T1;6
0;5.82;0;2007T4;6
0;5.52;0;2007T3;6
0;5.53;0;2007T2;6
0;5.91;0;2007T1;6
0;5.38;0;2006T4;6
0;5.32;0;2006T3;6
0;5.4;0;2006T2;6
0;5.9;0;2006T1;6
0;5.61;0;2005T4;6
0;5.28;0;2005T3;6
0;6.68;0;2005T2;6
0;6.64;0;2005T1;6
0;6.79;0;2004T4;6
0;6.99;0;2004T3;6
0;7.14;0;2004T2;6
0;6.74;0;2004T1;6
0;6.61;0;2003T4;6
0;7.29;0;2003T3;6
0;6.54;0;2003T2;6
0;6.75;0;2003T1;6
0;7.01;0;2002T4;6
0;7.11;0;2002T3;6
0;6.76;0;2002T2;6
0;7.0;0;2002T1;6
1;21.83;0;2019T3;0
1;21.04;0;2019T2;0
1;21.08;0;2019T1;0
1;21.26;0;2018T4;0
1;22.85;0;2018T3;0
1;23.09;0;2018T2;0
1;24.74;0;2018T1;0
1;24.43;0;2017T4;0
1;25.41;0;2017T3;0
1;25.24;0;2017T2;0
1;26.94;0;2017T1;0
1;28.25;0;2016T4;0
1;28.52;0;2016T3;0
1;29.07;0;2016T2;0
1;29.7;0;2016T1;0
1;29.83;0;2015T4;0
1;31.73;0;2015T3;0
1;30.98;0;2015T2;0
1;33.62;0;2015T1;0
1;34.23;0;2014T4;0
1;35.21;0;2014T3;0
1;34.74;0;2014T2;0
1;34.94;0;2014T1;0
1;36.26;0;2013T4;0
1;36.19;0;2013T3;0
1;35.67;0;2013T2;0
1;36.77;0;2013T1;0
